clase,syn
http://purl.obolibrary.org/obo/DOID_0050052,tifus exantemático de São Paulo
http://purl.obolibrary.org/obo/DOID_0050052,fiebre maculosa
http://purl.obolibrary.org/obo/DOID_0050052,fiebre manchada
http://purl.obolibrary.org/obo/DOID_0050052,tifus de São Paulo
http://purl.obolibrary.org/obo/DOID_0050052,fiebre de São Paulo
http://purl.obolibrary.org/obo/DOID_0050052,fiebre de Tobia
http://purl.obolibrary.org/obo/DOID_13564,infección por Aspergillus
http://purl.obolibrary.org/obo/DOID_552,neumonía aguda
http://purl.obolibrary.org/obo/DOID_0050096,dermatofitosis de la barba
http://purl.obolibrary.org/obo/DOID_37,genodermatosis
http://purl.obolibrary.org/obo/DOID_37,enfermedad de la piel y del tejido subcutáneo
http://purl.obolibrary.org/obo/DOID_4337,tiña del cuero cabelludo
http://purl.obolibrary.org/obo/DOID_4337,tinea capitis por Trichophyton rubrum
http://purl.obolibrary.org/obo/DOID_4337,dermatofitosis del cuero cabelludo o la barba
http://purl.obolibrary.org/obo/DOID_4337,tinea capitis causada por Trichophyton rubrum
http://purl.obolibrary.org/obo/DOID_4337,dermatofitosis del cuero cabelludo
http://purl.obolibrary.org/obo/DOID_12179,dermatofitosis del tronco
http://purl.obolibrary.org/obo/DOID_12179,dermatofitosis del cuerpo
http://purl.obolibrary.org/obo/DOID_0050117,enfermedad infecciosa
http://purl.obolibrary.org/obo/DOID_0050118,encefalitis de California
http://purl.obolibrary.org/obo/DOID_0050118,encefalitis por el virus de California
http://purl.obolibrary.org/obo/DOID_0050118,infección neuroinvasiva por el virus de la encefalitis de California
http://purl.obolibrary.org/obo/DOID_936,encefalopatía
http://purl.obolibrary.org/obo/DOID_0050120,síndrome hemofagocítico
http://purl.obolibrary.org/obo/DOID_75,linfangiopatía
http://purl.obolibrary.org/obo/DOID_75,enfermedad linfática
http://purl.obolibrary.org/obo/DOID_75,enfermedad del sistema linfoide
