class,syn
http://purl.obolibrary.org/obo/DOID_649,Prion protein disease
http://purl.obolibrary.org/obo/DOID_649,Spongiform Encephalopathy
http://purl.obolibrary.org/obo/DOID_649,prion induced disorder
http://purl.obolibrary.org/obo/DOID_649,transmissible spongiform encephalopathy
http://purl.obolibrary.org/obo/DOID_0050434,ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS
http://purl.obolibrary.org/obo/DOID_0050434,Andersen syndrome
http://purl.obolibrary.org/obo/DOID_0050434,LQT7
http://purl.obolibrary.org/obo/DOID_0050434,Long QT syndrome 7
http://purl.obolibrary.org/obo/DOID_0050434,Potassium-Sensitive Cardiodysrhythmic Type
http://purl.obolibrary.org/obo/DOID_2843,LQT
http://purl.obolibrary.org/obo/DOID_2843,long Q-T syndrome
http://purl.obolibrary.org/obo/DOID_2843,Romano-Ward syndrome
http://purl.obolibrary.org/obo/DOID_0050436,MUL
http://purl.obolibrary.org/obo/DOID_0050436,Mulibrey growth disorder
http://purl.obolibrary.org/obo/DOID_0050436,Muscle-Liver-Brain-Eye Nanism
http://purl.obolibrary.org/obo/DOID_0050436,PERICARDIAL CONSTRICTION AND GROWTH FAILURE
http://purl.obolibrary.org/obo/DOID_0050436,Perheentupa Syndrome
http://purl.obolibrary.org/obo/DOID_0050437,ANTOPOL DISEASE
http://purl.obolibrary.org/obo/DOID_0050437,PSEUDOGLYCOGENOSIS II
http://purl.obolibrary.org/obo/DOID_3211,disorder of lysosomal enzyme
http://purl.obolibrary.org/obo/DOID_3211,inborn lysosomal enzyme disorder
http://purl.obolibrary.org/obo/DOID_3211,lysosomal storage metabolism disorder
http://purl.obolibrary.org/obo/DOID_0050440,Dunnigan Syndrome
http://purl.obolibrary.org/obo/DOID_0050440,Koberling-Dunnigan Syndrome
http://purl.obolibrary.org/obo/DOID_0050441,"Sulfatidosis, Juvenile, Austin Type"
http://purl.obolibrary.org/obo/DOID_0050441,multiple sulfatase deficiency disease
http://purl.obolibrary.org/obo/DOID_1927,sphingolipidoses
http://purl.obolibrary.org/obo/DOID_0050444,infantile phytanic acid storage disease
http://purl.obolibrary.org/obo/DOID_906,peroxisomal disorder
http://purl.obolibrary.org/obo/DOID_0050445,"Hypophosphatemia, Vitamin D-Resistant Rickets"
http://purl.obolibrary.org/obo/DOID_0050445,"Vitamin D-Resistant Rickets, X-Linked"
http://purl.obolibrary.org/obo/DOID_0050445,X-linked hypophosphatemia
http://purl.obolibrary.org/obo/DOID_0050445,hypophosphatemic rickets X-linked dominant
http://purl.obolibrary.org/obo/DOID_10609,active rickets
http://purl.obolibrary.org/obo/DOID_0050448,hereditary mucosal leukokeratosis
http://purl.obolibrary.org/obo/DOID_0050448,white sponge nevus of Cannon
