source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0112104,rdfs:label,Sotos syndrome 3,en,es,síndrome de Sotos 3,1
DOID:0112105,rdfs:label,X-linked parkinsonism-spasticity syndrome,en,es,síndrome de parkinsonismo-espasticidad ligado al cromosoma X,1
DOID:0112106,rdfs:label,"chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia",en,es,condrodisplasia con platispondilia,1
DOID:0112107,rdfs:label,McLeod syndrome,en,es,síndrome de McLeod,1
DOID:0112108,rdfs:label,myofibrillar myopathy 10,en,es,miopatía miofibrilar 10,1
DOID:0112109,rdfs:label,spermatogenic failure 44,en,es,fallo espermatogénico 44,1
DOID:0112110,rdfs:label,combined oxidative phosphorylation deficiency 49,en,es,deficiencia combinada de la fosforilación oxidativa 49,1
DOID:0112111,rdfs:label,combined oxidative phosphorylation deficiency 50,en,es,deficiencia combinada de fosforilación oxidativa 50,1
DOID:0112112,rdfs:label,combined oxidative phosphorylation deficiency 48,en,es,deficiencia combinada de fosforilación oxidativa 48,1
DOID:0112113,rdfs:label,combined oxidative phosphorylation deficiency 45,en,es,deficiencia combinada de fosforilación oxidativa 45,1
DOID:0112114,rdfs:label,combined oxidative phosphorylation deficiency 47,en,es,deficiencia combinada de fosforilación oxidativa 47,1
DOID:0112115,rdfs:label,combined oxidative phosphorylation deficiency 46,en,es,deficiencia combinada de fosforilación oxidativa 46,1
DOID:0112116,rdfs:label,combined oxidative phosphorylation deficiency 43,en,es,deficiencia combinada de fosforilación oxidativa 43,1
DOID:0112117,rdfs:label,combined oxidative phosphorylation deficiency 40,en,es,deficiencia combinada de fosforilación oxidativa 40,1
DOID:0112118,rdfs:label,combined oxidative phosphorylation deficiency 42,en,es,deficiencia combinada de fosforilación oxidativa 42,1
DOID:0112119,rdfs:label,combined oxidative phosphorylation deficiency 41,en,es,deficiencia combinada de fosforilación oxidativa 41,1
DOID:0112120,rdfs:label,SHOX-related short stature,en,es,estatura baja relacionada con SHOX,1
DOID:0112121,rdfs:label,nephrogenic syndrome of inappropriate antidiuresis,en,es,síndrome nefrogénico de antidiuresis inapropiada,1
DOID:0112122,rdfs:label,X-linked epilepsy with variable learning disabilities and behavior disorders,en,es,epilepsia ligada al cromosoma X con dificultades variables de aprendizaje y trastornos del comportamiento,1
DOID:0112123,rdfs:label,"deafness, dystonia, and cerebral hypomyelination",en,es,sordera,1
DOID:0112124,rdfs:label,X-linked retinitis pigmentosa and sinorespiratory infections,en,es,retinosis pigmentaria ligada al cromosoma X e infecciones sinorespiratorias,1
DOID:0112125,rdfs:label,alpha-thalassemia myelodysplasia syndrome,en,es,síndrome de mielodisplasia alfa-talasemia,1
DOID:0112126,rdfs:label,Stocco Dos Santos type X-linked intellectual disability,en,es,discapacidad intelectual ligada al cromosoma X tipo Stocco Dos Santos,1
