source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0110146	IAO:0000115	A Bartter disease that has_material_basis_in simultaneous mutation in both the CLCNKA and CLCNKB genes.	Enfermedad de Bartter que tiene como base material la mutación simultánea en los genes CLCNKA y CLCNKB.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.64535	JAB-quick	[JAB] missing chromosome location		
DOID:0110146	oboInOwl:hasExactSynonym	BARTS4B	BARTS4B	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110146	oboInOwl:hasExactSynonym	Bartter syndrome, type 4b, digenic	Síndrome de Bartter, tipo 4b, digénico	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110146	oboInOwl:hasExactSynonym	neonatal Bartter syndrome type 4B with sensorineural deafness	Síndrome de Bartter neonatal tipo 4B con sordera neurosensorial	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0110146	rdfs:label	Bartter disease type 4b	Enfermedad de Bartter tipo 4b	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110147	IAO:0000115	A Bartter disease that has_material_basis_in mutation in the MAGED2 gene on chromosome Xp11.	Enfermedad de Bartter que tiene su base material en la mutación del gen MAGED2 en el cromosoma Xp11.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.612	JAB-quick			
DOID:0110147	oboInOwl:hasExactSynonym	BARTS5	BARTS5	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110147	oboInOwl:hasExactSynonym	Bartter syndrome, type 5, antenatal, transient	Síndrome de Bartter, tipo 5, prenatal, transitorio	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.8458				
DOID:0110147	rdfs:label	Bartter disease type 5	Enfermedad de Bartter tipo 5	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110148	IAO:0000115	A Charcot-Marie-Tooth disease type 1 that has_material_basis_in duplication of, or mutation in, the gene encoding peripheral myelin protein-22 (PMP22).	Enfermedad de Charcot-Marie-Tooth tipo 1 que tiene su base material en la duplicación o mutación del gen que codifica la proteína de mielina periférica-22 (PMP22).	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.63095	JAB-quick			
DOID:0110148	oboInOwl:hasExactSynonym	CMT1A	CMT1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110148	oboInOwl:hasExactSynonym	Charcot-Marie-Tooth neuropathy type 1A	Neuropatía de Charcot-Marie-Tooth tipo 1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110148	oboInOwl:hasExactSynonym	HMSN1A	HMSN1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110148	oboInOwl:hasExactSynonym	autosomal dominant Charcot-Marie-Tooth disease with focally folded myelin sheaths type 1A	enfermedad de Charcot-Marie-Tooth autosómica dominante con vainas de mielina focalmente plegadas tipo 1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.88				
DOID:0110148	oboInOwl:hasExactSynonym	hereditary motor and sensory neuropathy 1A	neuropatía motora y sensorial hereditaria 1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110148	oboInOwl:hasExactSynonym	microduplication 17p12	microduplicación 17p12	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.925				
DOID:0110148	rdfs:label	Charcot-Marie-Tooth disease type 1A	Enfermedad de Charcot-Marie-Tooth tipo 1A	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110149	IAO:0000115	A Charcot-Marie-Tooth disease type 1 that has_material_basis_in mutation in the NEFL gene.	Enfermedad de Charcot-Marie-Tooth tipo 1 que tiene como base material la mutación en el gen NEFL.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.5799000000000001	JAB-quick	[JAB] missing chromosome location		
DOID:0110149	oboInOwl:hasExactSynonym	CMT1F	CMT1F	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
