source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0112268	oboInOwl:hasExactSynonym	NPHS22	NPHS22	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112268	rdfs:label	nephrotic syndrome type 22	síndrome nefrótico tipo 22	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112269	IAO:0000115	A primary ovarian insufficiency characterized by irregular menstrual cycles and cessation of menstruation in the third decade of life that has_material_basis_in homozygous or compound heterozygous mutation in C14orf39 on chromosome 14q23.1.	La insuficiencia ovárica primaria se caracteriza por ciclos menstruales irregulares y cese de la menstruación en la tercera década de la vida y tiene_base_material_en una mutación homocigota o heterocigota compuesta en C14orf39 en el cromosoma 14q23.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6954499999999999				
DOID:0112269	oboInOwl:hasExactSynonym	POF18	POF18	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112269	oboInOwl:hasExactSynonym	premature ovarian failure 18	Insuficiencia ovárica prematura 18	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.98				
DOID:0112269	rdfs:label	primary ovarian insufficiency 18	insuficiencia ovárica primaria 18	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112270	IAO:0000115	A spermatogenic failure that is characterized by non-obstructive azoospermia resulting from meiotic arrest at the spermatocyte stage that has_material_basis_in homozygous or compound heterozygous mutation in C14orf39 on chromosome 14q23.1.	El fallo espermatogénico se caracteriza por azoospermia no obstructiva resultante de la detención meiótica en el estadio de espermatocito y tiene_base_material_en una mutación homocigota o heterocigota compuesta en C14orf39 en el cromosoma 14q23.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6733				
DOID:0112270	oboInOwl:hasExactSynonym	SPGF52	SPGF52	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112270	rdfs:label	spermatogenic failure 52	fallo espermatogénico 52	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112271	IAO:0000115	A spermatogenic failure characterized by multiple morphologic abnormalities of the sperm flagella resulting in markedly reduced or no progressive motility that has_material_basis_in homozygous or compound heterozygous mutation in the CFAP58 gene on chromosome 10q25.1.	El fallo espermatogénico se caracteriza por múltiples anomalías morfológicas de los flagelos espermáticos que dan lugar a una motilidad progresiva marcadamente reducida o nula y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen CFAP58 en el cromosoma 10q25.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6212				
