class,synonym,clase,sinónimo,class_match
http://purl.obolibrary.org/obo/DOID_0070267,CDGIIdo,http://purl.obolibrary.org/obo/DOID_0070267,CDGIIdo,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,Carbohydrate deficient glycoprotein syndrome type IIo,http://purl.obolibrary.org/obo/DOID_0070267,Síndrome de glucoproteína deficiente en carbohidratos tipo IIo,TRUE
http://purl.obolibrary.org/obo/DOID_0070267,Congenital disorder of glycosylation type 2o,http://purl.obolibrary.org/obo/DOID_0070267,Trastorno congénito de la glicosilación tipo 2o,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,CDG IIp,http://purl.obolibrary.org/obo/DOID_0070268,CDG IIp,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,CDG syndrome type IIp,http://purl.obolibrary.org/obo/DOID_0070268,síndrome CDG tipo IIp,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,CDG2P,http://purl.obolibrary.org/obo/DOID_0070268,CDG2P,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,CDGIIdp,http://purl.obolibrary.org/obo/DOID_0070268,CDGIIdp,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,Carbohydrate deficient glycoprotein syndrome type IIp,http://purl.obolibrary.org/obo/DOID_0070268,Síndrome de glucoproteína deficiente en carbohidratos tipo IIp,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,Congenital disorder of glycosylation type 2p,http://purl.obolibrary.org/obo/DOID_0070268,Trastorno congénito de la glicosilación tipo 2p,TRUE
http://purl.obolibrary.org/obo/DOID_0070268,TMEM199-CDG,http://purl.obolibrary.org/obo/DOID_0070268,TMEM199-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070269,CDG IIq,http://purl.obolibrary.org/obo/DOID_0070269,CDG IIq,TRUE
http://purl.obolibrary.org/obo/DOID_0070269,CDG2Q,http://purl.obolibrary.org/obo/DOID_0070269,CDG2Q,TRUE
http://purl.obolibrary.org/obo/DOID_0070269,CDGIIdq,http://purl.obolibrary.org/obo/DOID_0070269,CDGIIdq,TRUE
http://purl.obolibrary.org/obo/DOID_0070269,COG2-CDG,http://purl.obolibrary.org/obo/DOID_0070269,COG2-CDG,TRUE
http://purl.obolibrary.org/obo/DOID_0070269,COG2-related congenital disorder of glycosylation,http://purl.obolibrary.org/obo/DOID_0070269,trastorno congénito de la glicosilación relacionado con COG2,TRUE
http://purl.obolibrary.org/obo/DOID_0070277,MCPH15,http://purl.obolibrary.org/obo/DOID_0070277,MCPH15,TRUE
http://purl.obolibrary.org/obo/DOID_0070277,NEDMISBA,http://purl.obolibrary.org/obo/DOID_0070277,NEDMISBA,TRUE
http://purl.obolibrary.org/obo/DOID_0070277,"neurodevelopmental disorder with progressive microcephaly, spasticity, and brain imaging abnormalities",http://purl.obolibrary.org/obo/DOID_0070277,"trastorno del neurodesarrollo con microcefalia progresiva, espasticidad y anomalías en la imagen cerebral",TRUE
http://purl.obolibrary.org/obo/DOID_0070296,MCPH,http://purl.obolibrary.org/obo/DOID_0070296,MCPH,TRUE
http://purl.obolibrary.org/obo/DOID_0070278,MCPH7,http://purl.obolibrary.org/obo/DOID_0070278,MCPH7,TRUE
http://purl.obolibrary.org/obo/DOID_0070279,MCPH14,http://purl.obolibrary.org/obo/DOID_0070279,MCPH14,TRUE
http://purl.obolibrary.org/obo/DOID_0070280,MCPH5,http://purl.obolibrary.org/obo/DOID_0070280,MCPH5,TRUE
http://purl.obolibrary.org/obo/DOID_0070281,MCPH19,http://purl.obolibrary.org/obo/DOID_0070281,MCPH19,TRUE
http://purl.obolibrary.org/obo/DOID_0070282,MCPH8,http://purl.obolibrary.org/obo/DOID_0070282,MCPH8,TRUE
http://purl.obolibrary.org/obo/DOID_0070283,MCPH13,http://purl.obolibrary.org/obo/DOID_0070283,MCPH13,TRUE
http://purl.obolibrary.org/obo/DOID_0070284,MCPH12,http://purl.obolibrary.org/obo/DOID_0070284,MCPH12,TRUE
http://purl.obolibrary.org/obo/DOID_0070285,MCPH1,http://purl.obolibrary.org/obo/DOID_0070285,MCPH1,TRUE
http://purl.obolibrary.org/obo/DOID_0070286,MCPH3,http://purl.obolibrary.org/obo/DOID_0070286,MCPH3,TRUE
http://purl.obolibrary.org/obo/DOID_0070287,MCPH11,http://purl.obolibrary.org/obo/DOID_0070287,MCPH11,TRUE
http://purl.obolibrary.org/obo/DOID_0070288,MCPH17,http://purl.obolibrary.org/obo/DOID_0070288,MCPH17,TRUE
http://purl.obolibrary.org/obo/DOID_0070289,MCPH16,http://purl.obolibrary.org/obo/DOID_0070289,MCPH16,TRUE
http://purl.obolibrary.org/obo/DOID_0070290,MCPH6,http://purl.obolibrary.org/obo/DOID_0070290,MCPH6,TRUE
http://purl.obolibrary.org/obo/DOID_0070291,MCPH4,http://purl.obolibrary.org/obo/DOID_0070291,MCPH4,TRUE
http://purl.obolibrary.org/obo/DOID_0070292,MCPH9,http://purl.obolibrary.org/obo/DOID_0070292,MCPH9,TRUE
http://purl.obolibrary.org/obo/DOID_0070293,MCPH2,http://purl.obolibrary.org/obo/DOID_0070293,MCPH2,TRUE
http://purl.obolibrary.org/obo/DOID_0070294,MCPH10,http://purl.obolibrary.org/obo/DOID_0070294,MCPH10,TRUE
http://purl.obolibrary.org/obo/DOID_0070295,MCPH18,http://purl.obolibrary.org/obo/DOID_0070295,MCPH18,TRUE
http://purl.obolibrary.org/obo/DOID_0070297,true microcephaly,http://purl.obolibrary.org/obo/DOID_0070297,microcefalia verdadera,TRUE
http://purl.obolibrary.org/obo/DOID_0070315,Right hypoplastic heart syndrome,http://purl.obolibrary.org/obo/DOID_0070315,Síndrome del corazón hipoplásico derecho,TRUE
http://purl.obolibrary.org/obo/DOID_0080079,nonsyndromic congenital nail disorder 10,http://purl.obolibrary.org/obo/DOID_0080079,trastorno ungueal congénito no sindrómico 10,TRUE
http://purl.obolibrary.org/obo/DOID_0080079,twenty-nail dystrophy,http://purl.obolibrary.org/obo/DOID_0080079,distrofia de veinte uñas,TRUE
http://purl.obolibrary.org/obo/DOID_0080082,HYPONYCHIA CONGENITA,http://purl.obolibrary.org/obo/DOID_0080082,HIPONIQUIA CONGÉNITA,TRUE
http://purl.obolibrary.org/obo/DOID_0080082,anonychia congenita,http://purl.obolibrary.org/obo/DOID_0080082,anoniquia congénita,TRUE
http://purl.obolibrary.org/obo/DOID_0080086,isolated toenail dystrophy,http://purl.obolibrary.org/obo/DOID_0080086,distrofia aislada de las uñas de los pies,TRUE
http://purl.obolibrary.org/obo/DOID_0080101,congenital myopathy 12,http://purl.obolibrary.org/obo/DOID_0080101,miopatía congénita 12,TRUE
http://purl.obolibrary.org/obo/DOID_0080102,CFTD,http://purl.obolibrary.org/obo/DOID_0080102,CFTD,TRUE
http://purl.obolibrary.org/obo/DOID_0080102,congenital fiber-type disproportion,http://purl.obolibrary.org/obo/DOID_0080102,desproporción congénita tipo fibra,TRUE
http://purl.obolibrary.org/obo/DOID_0080139,developmental and epileptic encephalopathy 20,http://purl.obolibrary.org/obo/DOID_0080139,encefalopatía del desarrollo y epiléptica 20,TRUE
http://purl.obolibrary.org/obo/DOID_0080139,early infantile epileptic encephalopathy 20,http://purl.obolibrary.org/obo/DOID_0080139,encefalopatía epiléptica infantil precoz 20,TRUE
http://purl.obolibrary.org/obo/DOID_0080139,glycosylphosphatidylinositol biosynthesis defect 4,http://purl.obolibrary.org/obo/DOID_0080139,defecto de biosíntesis del glicosilfosfatidilinositol 4,TRUE
http://purl.obolibrary.org/obo/DOID_0080140,M syndrome,http://purl.obolibrary.org/obo/DOID_0080140,síndrome M,TRUE
http://purl.obolibrary.org/obo/DOID_0080140,light fixation seizure syndrome,http://purl.obolibrary.org/obo/DOID_0080140,síndrome convulsivo de fijación a la luz,TRUE
http://purl.obolibrary.org/obo/DOID_0080173,exstrophy-epispadias complex,http://purl.obolibrary.org/obo/DOID_0080173,complejo extrofia-epispadias,TRUE
http://purl.obolibrary.org/obo/DOID_0080180,ZIKV congenital infection,http://purl.obolibrary.org/obo/DOID_0080180,infección congénita por ZIKV,TRUE
http://purl.obolibrary.org/obo/DOID_0080313,CPLS syndrome,http://purl.obolibrary.org/obo/DOID_0080313,síndrome CPLS,TRUE
http://purl.obolibrary.org/obo/DOID_0080313,syngnathia,http://purl.obolibrary.org/obo/DOID_0080313,singnatia,TRUE
http://purl.obolibrary.org/obo/DOID_0080395,nonsyndromic cleft lip with or without cleft palate 1,http://purl.obolibrary.org/obo/DOID_0080395,labio leporino no sindrómico con o sin paladar hendido 1,TRUE
http://purl.obolibrary.org/obo/DOID_0080396,nonsyndromic cleft lip with or without cleft palate 2,http://purl.obolibrary.org/obo/DOID_0080396,labio leporino no sindrómico con o sin paladar hendido 2,TRUE
http://purl.obolibrary.org/obo/DOID_0080397,nonsyndromic cleft lip with or without cleft palate 3,http://purl.obolibrary.org/obo/DOID_0080397,labio leporino no sindrómico con o sin paladar hendido 3,TRUE
http://purl.obolibrary.org/obo/DOID_0080398,nonsyndromic cleft lip with or without cleft palate 4,http://purl.obolibrary.org/obo/DOID_0080398,labio leporino no sindrómico con o sin paladar hendido 4,TRUE
http://purl.obolibrary.org/obo/DOID_0080399,nonsyndromic cleft lip with or without cleft palate 5,http://purl.obolibrary.org/obo/DOID_0080399,labio leporino no sindrómico con o sin paladar hendido 5,TRUE
http://purl.obolibrary.org/obo/DOID_0080400,Zlotogora-Ogur syndrome,http://purl.obolibrary.org/obo/DOID_0080400,síndrome de Zlotogora-Ogur,TRUE
http://purl.obolibrary.org/obo/DOID_0080402,nonsyndromic cleft lip with or without cleft palate 9,http://purl.obolibrary.org/obo/DOID_0080402,labio leporino no sindrómico con o sin paladar hendido 9,TRUE
http://purl.obolibrary.org/obo/DOID_0080403,nonsyndromic cleft lip with or without cleft palate 10,http://purl.obolibrary.org/obo/DOID_0080403,labio leporino no sindrómico con o sin paladar hendido 10,TRUE
http://purl.obolibrary.org/obo/DOID_0080404,nonsyndromic cleft lip with or without cleft palate 11,http://purl.obolibrary.org/obo/DOID_0080404,labio leporino no sindrómico con o sin paladar hendido 11,TRUE
http://purl.obolibrary.org/obo/DOID_0080405,nonsyndromic cleft lip with or without cleft palate 12,http://purl.obolibrary.org/obo/DOID_0080405,labio leporino no sindrómico con o sin paladar hendido 12,TRUE
http://purl.obolibrary.org/obo/DOID_0080552,PMM2-congenital disorder of glycosylation,http://purl.obolibrary.org/obo/DOID_0080552,PMM2-trastorno congénito de la glicosilación,TRUE
http://purl.obolibrary.org/obo/DOID_0080552,congenital disorder of glycosylation 1a,http://purl.obolibrary.org/obo/DOID_0080552,trastorno congénito de la glicosilación 1a,TRUE
http://purl.obolibrary.org/obo/DOID_0080553,congenital disorder of glycosylation 1aa,http://purl.obolibrary.org/obo/DOID_0080553,trastorno congénito de la glicosilación 1aa,TRUE
http://purl.obolibrary.org/obo/DOID_0080554,congenital disorder of glycosylation 1b,http://purl.obolibrary.org/obo/DOID_0080554,trastorno congénito de la glicosilación 1b,TRUE
http://purl.obolibrary.org/obo/DOID_0080555,congenital disorder of glycosylation 1c,http://purl.obolibrary.org/obo/DOID_0080555,trastorno congénito de la glicosilación 1c,TRUE
http://purl.obolibrary.org/obo/DOID_0080556,congenital disorder of glycosylation 1d,http://purl.obolibrary.org/obo/DOID_0080556,trastorno congénito de la glicosilación 1d,TRUE
