clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0060776,enteropatía congénita en penacho,,,,
http://purl.obolibrary.org/obo/DOID_0060776,enteropatía en penacho,,,,
http://purl.obolibrary.org/obo/DOID_0060777,DIAR8,,,,
http://purl.obolibrary.org/obo/DOID_0060778,diarrea crónica congénita con enteropatía exudativa,,,,
http://purl.obolibrary.org/obo/DOID_0060778,diarrea crónica congénita con enteropatía perdedora de proteínas,,,,
http://purl.obolibrary.org/obo/DOID_0060778,diarrea crónica congénita con enteropatía exudativa,,,,
http://purl.obolibrary.org/obo/DOID_0060778,diarrea crónica congénita con enteropatía perdedora de proteínas,,,,
http://purl.obolibrary.org/obo/DOID_0060778,diarrea congénita 7 con enteropatía exudativa,,,,
http://purl.obolibrary.org/obo/DOID_0060779,diarrea malabsortiva congénita debida a la escasez de células enteroendocrinas,,,,
http://purl.obolibrary.org/obo/DOID_0060779,diarrea malabsortiva congénita 4,,,,
http://purl.obolibrary.org/obo/DOID_0060779,diarrea malabsortiva congénita por escasez de células enteroendocrinas,,,,
http://purl.obolibrary.org/obo/DOID_0060779,anendocrinosis entérica,,,,
http://purl.obolibrary.org/obo/DOID_0060780,diarrea crónica debida a la hiperactividad de la guanilato ciclasa 2C,,,,
http://purl.obolibrary.org/obo/DOID_0060780,diarrea crónica debida a la hiperactividad de la guanilato ciclasa 2C,,,,
http://purl.obolibrary.org/obo/DOID_0060780,diarrea congénita 6,,,,
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3 sindrómica,,,,
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3 con o sin otras anomalías congénitas,,,,
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3,,,,
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3 sindrómica,,,,
http://purl.obolibrary.org/obo/DOID_0060781,diarrea sódica secretora congénita 3 con o sin otras anomalías congénitas,,,,
http://purl.obolibrary.org/obo/DOID_0060856,síndrome de Ivemark,,,,
http://purl.obolibrary.org/obo/DOID_0060856,asplenia con anomalías cardiovasculares,,,,
http://purl.obolibrary.org/obo/DOID_0060902,lisencefalia 2,,,,
http://purl.obolibrary.org/obo/DOID_0060902,“síndrome de lisencefalia, tipo Norman-Roberts”,,,
http://purl.obolibrary.org/obo/DOID_0070123,CHNG4,,,,
http://purl.obolibrary.org/obo/DOID_0070123,deficiencia aislada de tirotropina,,,,
http://purl.obolibrary.org/obo/DOID_0070124,CHNG2,,,,
http://purl.obolibrary.org/obo/DOID_0070124,hipotiroidismo congénito debido a disgenesia o hipoplasia tiroidea,,,,
http://purl.obolibrary.org/obo/DOID_0070125,CHNG5,,,,
http://purl.obolibrary.org/obo/DOID_0070126,CHNG1,,,,
http://purl.obolibrary.org/obo/DOID_0070126,resistencia a la TSH,,,,
http://purl.obolibrary.org/obo/DOID_0070127,CHNG3,,,,
http://purl.obolibrary.org/obo/DOID_0070128,CHNG6,,,,
http://purl.obolibrary.org/obo/DOID_0070253,Síndrome de Alkuraya,,,,
http://purl.obolibrary.org/obo/DOID_0070253,CDG IIa,,,,
http://purl.obolibrary.org/obo/DOID_0070253,CDG2A,,,,
http://purl.obolibrary.org/obo/DOID_0070253,CDGIIa,,,,
http://purl.obolibrary.org/obo/DOID_0070253,CDGS2,,,,
http://purl.obolibrary.org/obo/DOID_0070253,“síndrome de glucoproteína deficiente en carbohidratos, tipo II”,,,
http://purl.obolibrary.org/obo/DOID_0070253,“trastorno congénito de la glicosilación, tipo IIa”,,,
http://purl.obolibrary.org/obo/DOID_0070253,“retraso mental, retraso del crecimiento, columela prominente y boca abierta”,,
http://purl.obolibrary.org/obo/DOID_0070254,CDG IIb,,,,
http://purl.obolibrary.org/obo/DOID_0070254,CDG2B,,,,
http://purl.obolibrary.org/obo/DOID_0070254,CDGIIb,,,,
http://purl.obolibrary.org/obo/DOID_0070254,deficiencia de glucosidasa I,,,,
http://purl.obolibrary.org/obo/DOID_0070255,CDG IIc,,,,
http://purl.obolibrary.org/obo/DOID_0070255,CDG2C,,,,
http://purl.obolibrary.org/obo/DOID_0070255,CDGIIc,,,,
http://purl.obolibrary.org/obo/DOID_0070255,síndrome de Rambam-Hasharon,,,,
http://purl.obolibrary.org/obo/DOID_0070256,CDG IId,,,,
http://purl.obolibrary.org/obo/DOID_0070256,CDG2D,,,,
http://purl.obolibrary.org/obo/DOID_0070256,CDGIId,,,,
http://purl.obolibrary.org/obo/DOID_0070257,CDG IIe,,,,
http://purl.obolibrary.org/obo/DOID_0070257,síndrome CDG tipo IIe,,,,
http://purl.obolibrary.org/obo/DOID_0070257,CDG2E,,,,
http://purl.obolibrary.org/obo/DOID_0070257,CDGIIde,,,,
http://purl.obolibrary.org/obo/DOID_0070257,COG7-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070257,Síndrome de glucoproteína deficiente en carbohidratos tipo IIe,,,,
http://purl.obolibrary.org/obo/DOID_0070258,CDG IIf,,,,
http://purl.obolibrary.org/obo/DOID_0070258,CDG2F,,,,
http://purl.obolibrary.org/obo/DOID_0070258,CDGIIdf,,,,
http://purl.obolibrary.org/obo/DOID_0070258,deficiencia del transportador de ácido siálico CMP,,,,
http://purl.obolibrary.org/obo/DOID_0070258,Síndrome de glucoproteína deficiente en carbohidratos tipo IIf,,,,
http://purl.obolibrary.org/obo/DOID_0070258,SLC35A1-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070259,CDG IIg,,,,
http://purl.obolibrary.org/obo/DOID_0070259,CDG2G,,,,
http://purl.obolibrary.org/obo/DOID_0070259,síndrome cerebro-costo-mandibular tipo CDGII/COG1,,,,
http://purl.obolibrary.org/obo/DOID_0070259,CDGIIg,,,,
http://purl.obolibrary.org/obo/DOID_0070259,Síndrome de glucoproteína deficiente en carbohidratos tipo IIg,,,,
http://purl.obolibrary.org/obo/DOID_0070260,CDG IIh,,,,
http://purl.obolibrary.org/obo/DOID_0070260,CDG2H,,,,
http://purl.obolibrary.org/obo/DOID_0070260,CDGIIdh,,,,
http://purl.obolibrary.org/obo/DOID_0070260,COG8-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070260,Síndrome de glucoproteína deficiente en carbohidratos tipo IIh,,,,
http://purl.obolibrary.org/obo/DOID_0070260,Trastorno congénito de la glicosilación tipo 2h,,,,
http://purl.obolibrary.org/obo/DOID_0070261,CDG IIi,,,,
http://purl.obolibrary.org/obo/DOID_0070261,síndrome CDG tipo IIi,,,,
http://purl.obolibrary.org/obo/DOID_0070261,CDG2I,,,,
http://purl.obolibrary.org/obo/DOID_0070261,CDGIIdi,,,,
http://purl.obolibrary.org/obo/DOID_0070261,COG5-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070261,Síndrome de glucoproteína deficiente en carbohidratos tipo IIi,,,,
http://purl.obolibrary.org/obo/DOID_0070261,Trastorno congénito de la glicosilación tipo 2i,,,,
http://purl.obolibrary.org/obo/DOID_0070262,CDG IIj,,,,
http://purl.obolibrary.org/obo/DOID_0070262,síndrome CDG tipo IIj,,,,
http://purl.obolibrary.org/obo/DOID_0070262,CDG2J,,,,
http://purl.obolibrary.org/obo/DOID_0070262,CDGIIdj,,,,
http://purl.obolibrary.org/obo/DOID_0070262,COG4-CDG,,,,
http://purl.obolibrary.org/obo/DOID_0070262,Síndrome de glucoproteína deficiente en carbohidratos tipo IIj,,,,
http://purl.obolibrary.org/obo/DOID_0070262,Trastorno congénito de la glicosilación tipo 2j,,,,
http://purl.obolibrary.org/obo/DOID_0070263,CDG IIk,,,,
http://purl.obolibrary.org/obo/DOID_0070263,síndrome CDG tipo IIk,,,,
http://purl.obolibrary.org/obo/DOID_0070263,CDG2K,,,,
http://purl.obolibrary.org/obo/DOID_0070263,CDGIIdk,,,,
http://purl.obolibrary.org/obo/DOID_0070263,Síndrome de glucoproteína deficiente en carbohidratos tipo IIk,,,,
http://purl.obolibrary.org/obo/DOID_0070263,Trastorno congénito de la glicosilación tipo 2k,,,,
